,de,ch_dialect
16234,"Die anschließende Tour führte sie dann durch Deutschland, Schweden, die Niederlande und die Schweiz.","Di ahschlüssend Tour hät si dänn dur Dütschland, Schwede, Holland und d Schwiz gfüert."
1260,Die Sendung «Potzmusig» kommt direkt aus Vevey und steht ganz im Zeichen der Fête des Vignerons.,"dSendig ""Potzmusig"" chunt direkt us Vevey und stoht ganz im Zeiche vo de Fete des Vignerons."
7556,"Die Software erkennt in der Stimme, ob jemand traurig oder wütend ist.","D Software erkennt in dr Stimm, ob öpert trurig oder hässig isch."
5228,Er schläft in der Lounge.,Är schlaft ir Lounge.
28409,"Sinzendorf verkaufte einen Teil seiner Besitzungen, um die Strafe bezahlen zu können.","Sinzendorf hed e Teil vo dim Bsetz verchauft, om d Strof chönne z zahle."
14893,Die notwendigen Zellen würden jeweils in der spezialisierten Klinik produziert und entwickelt.,Dia notwendiga Zella würen jewils in dr spezialisiarta Klinik produziart und entwicklet.
12565,Das Land stürzte in eine lange Phase des konfessionellen Bürgerkriegs.,Ds Land isch in a langi Phasa vum konfesionella Bürgerkriag gstürzt.
20393,Dazu werden spezielle Farbraum-Metadaten übertragen.,Derzüe wärdunt spezielli Farbrüm-Metadate ubertreit.
23427,"Wo Obstbäume stehen, können regelmässig Gartenvögel wie der Gartenrotschwanz oder der Specht beobachtet werden.","Wo's Obstbäum het, könne regelmässig Gartevögel wie dr Garterotschwanz oder dr Spächt beobachtet wärde."
10216,"Er läuft zu ihr hin, umarmt sie, flüstert ihr etwas ins Ohr und gibt ihr einen Abschiedskuss.","Er lauft zu ihra hera, umarmt sie, flüsteret ihra öpis ins Ohr und git ihra an Abschiedskuss."
1174,Das schöne Wetter haben wir dem Südföhn zu verdanken.,Das schöne Wetter hemmer em Südföhn zvodanke.
11948,"Die rosarotlichen, auffallend bereiften Blüten stehen an etwa 8 Millimeter langen Blütenstielen.",Dia rosarotlicha uffallend bereifta Blüata stöhn an öpa 8 Millimeter langa Blüatastiel.
6570,"Vera Brühne hatte sich massiv in Widersprüche verwickelt und auch versucht, Zeugen zu bestechen.","D Vera Brühne het sich massiv in Widersprüch verwicklet und au probiart, Züüga z bestecha."
28010,"Aber noch während ich schreite, löst Christiane sich in Luft auf.","Aber no während dem ich am schreie gsi ben, het sech d' Christiane en Loft ufglöst."
20386,"Es kann zu Übelkeit, Erbrechen und im schlimmsten Fall zu erheblichen Hirnschädigungen führen.","Es cha zu Ibelkeit, Erbrächu und im schlimmschtu Fall zu erhäbliche Hirnschädu fiehru."
13813,Die Schreibtische werden nach St. Gallen gezügelt.,D Schriebtisch werden noch St. Galla züglet.
20826,"«Anders würde man das gar nicht schaffen», sagt eine Pflegefachfrau.","""Annersch würdi mu das gar nit schaffu"", seit en Pflegfachfröi."
21761,Er ass den Kuchen selbst auf.,Är het der Chüechu sälber gässu.
9292,"Dies ermöglicht ihnen kurzfristig das Überleben, schwächt aber auf lange Sicht ihre wirtschaftliche Basis.","Das ermöglich ihna kurzfristig ds Überleba, schwächt aber uf langi Sicht ihri wirtschaftlichi Basis."
19442,Folgt Generation Bescheidenheit?,Chunnt d Generation Bescheideheit?
29081,"Innert einer Woche hatten ihn eine Million Hörer heruntergeladen, er schoss auf den dritten Platz der Rangliste von Apple.","Ennerhalb vonere Woche hend ne ei Million hörer abeglade, är esch uf de dretti Platz vode Apple Rangliste gschosse."
30672,"Ein- oder zweimal sah ich Gärtner, die im Regen arbeiteten, wobei ihre Mähmaschinen spuckten und rülpsten.","Einisch oder zwoi mol hanech Gärtner gseh, wo em Räge gschafft hend, debii hend ehri Mäihmaschene gspoitzt ond görpst."
11505,Für die Neuerstellung oder Erweiterung von Transportleitungen werden nach wie vor Beiträge bezahlt.,Für d Neuerstellig oder Erwiterig vu Transportleitiga werden noch wia vor Biträg zahlt.
7776,Er fettete die Türklinke so das sie nicht mehr quitsche.,"Er het dTürfalla so iigfettet, dass sie nüm quitscht het."
509,Bei der Improvisation im Jazz werden gelegentlich einzelne Phrasen zitiert.,Bi de Improvisation im Jazz werded glegentlich einzelni Phrase zitiert.
3287,Das Strafrecht ist immer nur das letzte Mittel.,S Schtrafrächt isch immer numä s letschtä Mittu.
28709,Er hinterließ seine Frau und ihren gemeinsamen Sohn.,Är henderloht sini Frau ond ehre gmeinsami Sohn.
1125,In der Kirche wird eine Spende erbeten.,I de Chille wird e Spend erbette.
13540,Zwar haben die Grünen und die traditionellen Bauern andere Vorstellungen von der Landwirtschaft.,Zwor hend dia Grüana und dia traditionella Puura anderi Vorstelliga vu dr Landwirtschaft.
6841,Gleichzeitig hält der UNO-Sicherheitsrat die Sanktionen gegen Nordkorea aufrecht.,Gliichziitig hebt dr UNO-Sicherheitsrot d Sanktiona geg Nordkorea ufrecht.
24349,Die Siegprämie von 417’000 Euro gewann Irland mit total nur einem Strafpunkt.,D Siegerprämie vo 417’000 het Irland mit total nur eim Strofpunkt gwunne.
8216,In diesem Zeitraum haben allerdings auch viele städtische und regionale Energieversorger den Sprung ins Ausland gewagt.,In dem Ziitruum hend allerdings au vieli städtischi und regionali Energieversorger dr Sprung ins Usland gwogt.
29157,Der Ort hat seinen Ursprung in der Antike.,De Ort hed sine Ursprong ide Antike.
1672,"Wenn die Rad-Elite 2024 um Edelmetall kämpft, wird dies in Zürich geschehen.","Wenn dVelo-Elite 2024 um Edelmetall kämpft, wird da in Züri gscheh."
17332,Nach Angabe der Ermittler hatte er unter falscher Identität in Belgrad gelebt und eine Praxis als «Alternativmediziner» betrieben.,"Lut Ahgabe vode Ermittler hät er mitere falsche Identität in Belgrad gläbt und e Praxis als ""Alternativmediziner"" gha."
6949,Auch wenn eine solche Verzögerungstaktik natürlich legitim ist.,Au wenn a söttigi Verzögerigstaktik natürlich legitim isch.
840,Doch entspricht das gute Image des Kondoms auch dem Verhalten beim Sex?,Aber entspricht das gueti image vom Kondom au em Verhalte bim Sex?
1613,"Ja, natürlich ist ein internationales Rennen eine spezielle Herausforderung.","Jo, natürli isch e internationals Renne e spezielli Userforderig."
7795,"Sie gehorchten im Kriegsfall einem Banneret, der ihre Lanzen zu einem Banner vereinigte.","Sie hend im Kriagsfall nem Banneret gfolgt, vo ihri Lanza zunem Banner vereinigt het."
13921,"Die Bedingungen für den Bezug seien kein Privileg, sondern landesüblich, angemessen und korrekt.","D Bedingiga für da Bezug sigen keis Privileg, sondern landesüblich, agmessa und korrekt."
29482,"Er verwies auf den frühbarocken Meister Caravaggio, der sogar ein Mörder gewesen sei.","Er wiist uf de früehbarocki Meister Caravaggio, wo sogar en Mörder gsi seg."
21342,Die Uiguren werden regelmässig durchsucht.,D'Uigure wärdunt regelmässig durchsüecht.
21532,Deren Listenverbindung mit der SP verhilft ihnen sensationell zum allerersten Nationalratssitz.,D'Lischtuverbindig va ihne mit der SP hälfut ihnu sensationell zum allererschtu Nationalratssitz.
11445,Bei Kriegsausbruch 1939 unterbrachen sie nach 18 Singles ihre Karriere.,Bi Kriagsusbruch 1939 hend sie noch 18 singels ihri Karriera unterbrocha.
1535,"Nebst der Politik sorgten aber auch Brustwarzen auf Facebook und Notfallknöpfe im Spital, die nicht funktionieren, für Aufsehen.","Nebed de Politik hend aber au Brustwarze uf Facebook und Notfallchnöpf im Spitol, wo nöd fuktioniered, für Ufsehe gsorgt."
3026,Pfefferminzöl erwies sich in dieser Hinsicht zudem als anderen Analgetika ebenbürtig.,Pfäffermünzöu hetsech i derä Hinsicht zudäm gägendüber de angerä Analgetika aus äbäbürdig erwisä.
30710,"Sie schleicht durch einen Gang zu einer weiteren Tür, dahinter liegt eine dunkle, enge Kammer.","Sie schliicht dörne Gang zonere wiitere Tööre, dehender liit en donkli, ängi Chammere."
1828,Doch wegen der Waldbrandgefahr ist grosse Vorsicht geboten:,Aber wege de Waldbrandgfohr isch grossi Vorsicht botte.
10491,Ähnlich wie bei dem in Ur ausgegrabenen Toilettenset waren auch hier verschiedene Geräte zur Körperpflege an einem Ring befestigt.,Ähnlich wia bim in Ur usgrabna Toilettaset sind au do verschiedni Grät zur Körperpfleg anem Ring befestigt gsi.
16061,Diese Anordnung mit zwei übereinander liegenden Gelenkwellen bedingte eine eigenartige Konstruktion des Drehgestelles.,Die Ahordnig mit zwei überenand ligende Glenkwälle hät e eigenartigi Konstruktion vom Drehgstell usgmacht.
27849,"Er erlernte nie das Sprechen, lachte nie und zeigte absolute sexuelle und finanzielle Gleichgültigkeit.","Er het nie glert rede, het nie glachet ond het absoluti sexuelli ond finanzielle Glichgöltigkeit zeigt."
13041,Der Film blendet aus.Hintergrund Der Film hatte bei den Internationalen Filmfestspielen von Venedig 2011 seine Premiere.,Dr Film blendet uus. Hintergrund. Dr Film het bi da internationala Filmfestspiel vu Venedig 2011 sini Premiera kah.
27924,Mit Vollgas rasten wir davon.,Met Vollgas semmer defo gfahre.
6240,Bei ambulanten Versicherungen für Alternativ-Medizin sowie für Brillen- und Zahnkorrektur nahm die Krankenkasse das Kind auf.,Bi ambulanta Versicheriga für Alternativ-Medizin sowia für Brilla- und Zahkorrektur het d Krankakassa ds Kind ufgnoh.
17229,Aber seine Vorgänger Hu Jintao und Jiang Zemin gehörten verschiedenen Fraktionen innerhalb der Partei an.,Aber sini Vorgänger de Hu Jintao und de Jiang Zemin händ zu verschidene Fraktione innerhalb vode Partei ghört.
14797,"Für ihn ist Luzern eine tolle Stadt nicht nur zum Wohnen, sondern auch zum Arbeiten.","Für ihn isch Luzern a tolli Stadt. Nit nur zum Wohna, sondern au zum schaffa."
16620,Neue invasive Muscheln wurden damit schon frühzeitig aufgespürt.,Noi invasivi Muschle sind mit däm scho früezitig gfunde worde.
21349,Das gibt Vielen in Rumänien Hoffnung auf eine Zukunft mit weniger Korruption.,Das git vielu z'Rumänien Hoffnig uf en bessri Züekunft mit weniger Korruption.
11892,"Es stimmt nicht, dass keine Organisation diese Arbeiten übernimmt, wenn kein Gewinn generiert wird.","Es stimmt nit, dass kei Organisation dia Arbet übernimmt, wenn kei Gwünn generiart wird."
9407,"Obwohl es etwas heiss ist, trägt das schöne Wetter zur guten Lagerstimmung bei.","Obwohls as bizli heiss isch, treit ds schöna Wetter zur guata Lagerstimmig bii."
28201,"Klagen wegen dieser Strafnorm gab es bisher wenige, sagt Gössi.","Klagene wäge dere Strafnorm hets bis jetzt fast keini gäh, seit de Gössi."
13000,Danach gab er die Arbeit als Komponist zu Gunsten seiner Lehrtätigkeit auf.,Drnoch het er d Arbet als Komponist zu Gunsta vu sinera Lehrtätigkeit ufgeh.
20125,Vorarlberg und Tirol gaben für Donnerstag und Freitag Sturmwarnungen heraus.,Vorarlberg und Tirol hent fer de Donnschtag und Fritag Sturmwarnige üsagigä.
25248,Nachts habe ich mich oft nach draußen geschlichen.,Z'Nacht ha ich mi oft use gschliche.
5338,"Er stiehlt keine Kuh, streckt die Hand in keine Truhe.","Är chlauet ke Chueh, schteckt d Hand i ke True."
815,Die Tuberkulose ist eine durch hustende Erkrankte über die Raumluft übertragbare Krankheit.,dTuberkulose isch e dur huestendi Erchrankti über dRuumluft übertreibari Chrankheit.
21208,Am sonnigsten ist es morgen aber definitiv Richtung Chur.,Am sunnigschtu ischs moru aber definitiv Richtig Chur.
4489,Er kehrt Heute den Boden.,Är wüscht hüt dr Bodä.
429,"Um die Kontrolle über die Autos behalten zu können, werden weiche Federn bevorzugt.","Um dKontrolle über dAutos bhalte zchönne, werded weichi Federe bevorzugt."
17792,"Die Politik in den USA, aber auch in Europa hat Bedenken wegen Geldwäscherei-Risiken.","D Politik ide USA, aber au in Europa hät Bedänke wäge Gäldwäscherei-Risike."
4905,Insbesondere in der Deutschschweiz haben wir zu wenig Plätze für ausländische Fahrende.,Insbesondere ir Dütschschwiz heimer zweni Plätz für usländischi Fahrendi.
17209,Die Walliser Glace-Manufaktur betreibt in Zürich zwei Filialen.,D Walliser Glace-Manufaktur hät in Züri zwei Filiale.
29586,Präsident Donald Trump schwankt zwischen inniger Männerfreundschaft mit Kim und deftigen Kriegsdrohungen.,De Presidänt Donald Trump schwankt zwöschere ennige Männerfröndschaft ond deftige Chriegsdrohige.
15919,Karl verlockte die Schöne zum Bleiben.,Dr Karl het dia Schöni zum blieba verlockt.
2757,"Er soll demnächst abgebaut, restauriert und an gleicher Stelle wieder aufgebaut werden.","Är söu dämnächscht abbout, reschtouriert und ar gliichä Schteu wider ufbout wärdä."
24804,"Man könnte etwa eine gute Kombination schaffen, um mit Vorarbeiten in der Zellkultur einiges an Tierversuchen zumindest zu reduzieren.","Mä könnti zum Bispiel ä gueti Kombination schaffe, zum mit Vorarbeite in dr Zellkultur einiges an Tierversüech zmindest z reduziere."
21726,"Das ganze Gerede über ihre Mutter wühlt dich vermutlich auf, formulierte Vicki wohlwollend.","Z'ganz Gschnurr über ihrusch Müetter wiehlt dich vermüetli üf, het d'Vicki wohlwellund formuliert."
19108,"Junge Menschen seien besonders gefährdet, da Nikotin die Entwicklung des Gehirns beeinträchtigen könne.","Jungi Mänsche seged bsunders gfährdet, will Nikotin d Entwicklig vom Ghirn beiflusse chöngi."
24361,Das Waffenrecht in der Schweiz soll geändert werden.,S Wafferächt in dr Schwiiz söll gänderet wärde.
19861,Die Blöcke sind ohne Mörtel zusammengefügt.,D Blöck sind ohni Mörtel zämegmacht.
23009,Darüber hinaus besitzen die Wirkstoffe der Pfefferminze auch einen leicht beruhigenden Effekt.,Drüber us bsitze d Wirkstoff vom Pfäffermünz au ä kliine beruhigende Effäkt.
4053,Der führende Anti-Apartheid-Kämpfer und Nationalheld hatte 27 Jahre im Gefängnis verbracht.,Dr füehrend Anti-Apartheid-Kämpfer und Nationalheud het 27 Jahr im Gfängnis verbracht.
22595,Tom selbst saß jetzt am Feuer und briet ein Kaninchen.,Der Tom sälber isch am Fiir ghockt und het es Hasi gibratu.
29845,"Wenn die Rad-Elite 2024 um Edelmetall kämpft, wird dies in Zürich geschehen.","Wenn d Velo Elite em 2024 om e Medallie kämpft, denn in Zöri."
28886,Das Geheimrezept: Wildblumen.,S Gheimrezäpt: Weldblueme.
24974,"Das kann nicht sein, ihm ist noch nie etwas ausgeschüttet.","Das cha nid sii, ihm isch no nie öbbis usgleert."
5499,Zieh die Jacke besser aus sonst erstickst du ja noch.,"Züüch dia Jacka besser ab, susch ersticksch no."
18301,Beziehungsweise du hast neben ihm geparkt.,Beziehigswis du häsch näbed ihm parkiert.
23874,In den höheren Alpentälern wird es etwas frischer.,In de höchere Alpetäler wird's ä bitz früscher.
5950,"Schmid trug außerdem die Ehrentitel ""Päpstlicher Hausprälat"", ""Erzbischöflicher Geistlicher Rat"" und ""Königlicher Geheimrat"".","Dr Schmid het usserdem dr Ehratitel ""Päpstlicher Hausprälat"", ""Erzbischöflicher Geistlicher Rat"" und ""Königlicher Geheimrat"" treit."
28257,Die Enkelin des Duce betrachtete dies mit Argwohn.,D Änkelin vom Duce hed das met messtroue agluegt..
4816,"Hersteller wie VW, Tesla oder Opel versprechen ihren Kunden eine Lebenszeit von acht Jahren.","Härschteuer wi VW, Tesla oder Opel verschprächä irnä Chunä ä Läbenszit vo acht Jahr."
4975,Ich wrang meine Kleidung aus.,I ha mini Chleider usdrückt.
21351,Partytouristinnen kommen ebenso wie schwule Flüchtlinge aus den palästinensischen Gebieten.,Partytourischtinne chämunt äbuso wie schwuli Flüchtlinga va paläschtinänsischu Gebieti.
23133,Die Fragen werden eingeblendet und die Astronauten erwidern mit ihrer Antwort.,D Frooge wärde ihbländet und d Astronaute erwidere mit ihrer Antwort.
1111,"Außerdem war es schwierig und teuer, Ersatzteile für die Maschinen zu bekommen.","Usserdem isch es schwierig und tüür gsi, Ersatzteil für dMaschine zbecho."
15073,"Sie ist Biologin und spürt gerne den Fragen nach, die der wissenschaftliche Fortschritt unserer Gesellschaft stellt.","Sie isch Biologin und spürt gera da Froga noch, wo dr wüssaschaftlichi Fortschritt üserer Gsellschaft stellt."
27591,"Luzern, Obwalden, Zug, Schwyz und Uri liegen ebenfalls weit vorne.","Luzern, Obwalde, Zug, Schwyz ond Uri lege ebefalls wit vore."
12671,Die wirtschaftliche Öffnung leuchtet Jeszenszky ein.,Dia wirtschaftlich Öffnig lüchtet Jeszenszky ii.
5465,Viele impfskeptische Eltern informieren sich über das Internet.,Vieli impfskeptischi Eltera informiaren sich über ds Internet.
20448,Sie finden darin zwischen Kleidungsstücken zwei antike Ohrringe sowie eine Fotografie eines Nachtclubs.,Schi findunt dadri zwischu Chleidigssticker zwei antiki Ohringgini sowie en Fotografie vamu Nachtclub.
27944,Der Hund hat sie gerochen.,De Hond het sie gschmöckt.
26806,Die Uiguren werden regelmässig durchsucht.,D'Uigure wärde regelmässig dorchsuecht.
17863,"Die Ziegel gefunden hat Robert Koldewey, einer der begnadetsten Archäologen seiner Zeit.","De Robert Koldewey hät d Ziegel gfunde, eine vo de begabtische Archäologe vo sinere Zit."
